policy_short,policy_long,policy_anti,category,description,legend0,legend1,legend2,definition1,definition2
tuition,In-state tuition for unauthorized immigrant students,,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years.",State did not have the policy,State had the policy,,,
financial,State financial aid for unauthorized immigrant students,,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for acertain number of years.",State did not have the policy,State had the policy,,,
ban,No university enrollment for unauthorized immigrant students,,integration,State denies enrollment at its public colleges and universities to unauthorized immigrant students. These policies include banning unauthorized immigrant students from some or all public postsecondary institutions.,State did not have the policy,State had the policy,,,
driver,State driver's license for unauthorized immigrants,,integration,State allows unauthorized immigrants to apply for driver's licenses and state ID cards; these are not to be used for federal identification purposes.,State did not have the policy,State had the policy,,,
english,English as official language,(anti-integration),integration,State formally recognizes English as its official language.,State did not have the policy,State had the policy,,,
task,"287(g) agreement, task force model",,enforcement,"Either a state agency or some or all of the counties in the state with the highest immigrant populationhave a 287(g) task force agreement with the DHS. 287(g) deputizes local law enforcement to perform certain functions of federal immigration officials, including accessing federal immigration databases and arresting and detaining individuals for suspected immigration violations. The task force model, which ended in 2012, allowed officials to act in the community.",None of the counties in the state with the most immigrants had an agreement,Some of the counties with the most immigrants in the state had an agreement,All of the counties with the most immigrants in the state had an agreement,DHS = Department of Homeland Security,
jail,"287(g) agreement, jail model",,enforcement,"Either a state agency or some or all of the counties in the state with the highest immigrant population have a 287(g) jail agreement with the DHS. 287(g) deputizes local law enforcement officials to perform certain functions of federal immigration officials, including accessing federal immigration databases, and arresting and detaining individuals for suspected immigration violations. The jail model allows officials to perform immigration enforcement functions in jails.",None of the counties with the most immigrants in the state had an agreement,Some of the counties with the most immigrants in the state had an agreement,All of the counties with the most immigrants in the state had an agreement,DHS = Department of Homeland Security,
scomm,Secure Communities,,enforcement,"State activated its participation in Secure Communities, a federal data-sharing program that ran from 2008 to 2014 and was reinstated in January 2017. Participation was initially understood to be voluntary but became mandatory and was active in all states by 2012. Through Secure Communities, the FBI shares fingerprints it receives from local law enforcement agencies with immigration enforcement agencies for checks against immigration databases. Depending on the result, immigration officials decide whether to take enforcement action, such as issuing a detainer request.",,,,,
e-verify,E-Verify mandate,,enforcement,"State has a policy to mandate that some or all employers use E-Verify, an electronic verification system that confirms the employment eligibility of workers. Most states with this mandate require either public employers and state contractors, or all employers with at least a certain number of employees, to use E-Verify.",No E-Verify mandate,Employers mandated to use E-Verify for some hires,Employers mandated to use E-Verify for all hires,,
ban-e-verify,Prohibition of local E-Verify mandates,(anti-enforcement),enforcement,"State has a policy to block cities, counties, or other jurisdictions from requiring employers to use E-Verify, an electronic verification system that confirms the employment eligibility of workers.",None of the counties with the most immigrants in the state limited cooperation with ICE detainer requests,Some of the counties with the most immigrants in the state limited cooperation with ICE detainer requests,All of the counties with the most immigrants in the state limited cooperation with ICE detainer requests,,
omnibus,Omnibus immigration bill ,,enforcement,"State has multiple enforcement-related measures on the books as a result of passing an omnibus immigration bill, such as Arizona's SB1070 and copycat bills in several states.",,,,,
detainer,Limited cooperation with ICE detainer requests,(anti-enforcement),enforcement,"Either the state or some or all of the counties in the state with the highest immigrant population have a policy to not honor some or all ICE detainer requests. ICE detainers are written requests to local jails and law enforcement agencies asking that they hold individuals for an additional 48 hours after their release date, to give ICE time to process the case and decide whether to take the individual into federal custody for deportation.",None of the counties with the most immigrants in the state limited cooperation with ICE detainer requests,Some of the counties with the most immigrants in the state limited cooperation with ICE detainer requests,All of the counties with the most immigrants in the state limited cooperation with ICE detainer requests,ICE = Immigration and Customs Enforcement,
cash,Cash assistance for LPRs during five-year bar,,public_benefits,State funds TANF-like cash assistance for LPRs during their first five years with this status. TANF provides cash assistance and supportive services for a limited period to low-income families with children to pay for living expenses.,State did not have the policy,State had the policy,,LPR = lawful permanent resident,TANF = Temporary Assistance for Needy Families
tanf,TANF for LPRs after five-year bar,,public_benefits,"State provides TANF to LPRs after their first five years with this status. Although federal funding is available, a few states deny TANF to LPRs even after the five-year waiting period. TANF provides cash assistance and supportive services for a limited period to low-income families with children to pay for living expenses.",State did not have the policy,State had the policy,,TANF = Temporary Assistance for Needy Families,LPR = lawful permanent resident
food_children,Food assistance for LPR children during five-year bar,,public_benefits,"State provides food stamps or SNAP benefits for low-income LPR children during their first five years with this status. Before 2003, several states offered food stamps to LPR children without a waiting period. A 2002 bill restored food stamp eligibility to LPR children during their first five years in that status, effective in April 2003.",State did not have the policy,State had the policy,,LPR = lawful permanent resident,SNAP = Supplemental Nutrition Assistance Program
food_adults,Food assistance for LPR adults during five-year bar,,public_benefits,State funds food stamps or SNAP-like food assistance for low-income LPRs during their first five years with this status.,State did not have the policy,State had the policy,,LPR = lawful permanent resident,SNAP = Supplemental Nutrition Assistance Program
ssi,SSI replacement for LPRs,,public_benefits,"State offers cash assistance at levels close to those received under SSI to LPRs, who are ineligible for SSI even after five years with this status. SSI supports seniors and people with disabilities, including children, who have very little or no income.",State did not have the policy,State had the policy,,LPR = lawful permanent resident,SSI = Supplemental Security Income
medicaid,Medicaid for LPR children during five-year bar,,public_benefits,"State provides public health insurance to LPR children during their first five years with this status. Until 2009, some states provided insurance with state funds. A 2009 law allowed states to use federal matching funds to provide Medicaid or CHIP to LPR children during their first five years with that status.",State did not have the policy,State had the policy,,LPR = lawful permanent resident,CHIP = Children's Health Insurance Program
health_undocumented_children,Public health insurance for unauthorized immigrant children,,public_benefits,"State funds public health insurance for children, regardless of status.  Some of these programs offer more comprehensive health insurance coverage than others.",State did not have the policy,State had the policy,,,
health_adults,Public health insurance for LPR adults during five-year bar,,public_benefits,State funds public health insurance for Lawful Permanent Resident (LPR) adults during their first five years with this status.,State did not have the policy,State had the policy,,LPR = lawful permanent resident,
health_undocumented_adults,Public health insurance for unauthorized immigrant adults,,public_benefits,"State funds public health insurance for adults, regardless of status.",State did not have the policy,State had the policy,,,
medicaid_lpr_pregnant,Medicaid for LPR pregnant women during five-year bar,,public_benefits,"State provides prenatal care to LPR pregnant women during their first five years with this status. Until 2002, this care was provided with state funds. Regulations issued in 2002 allowed states to fund limited prenatal care for new LPRs through a CHIP option; a 2009 law allowed states to fund some more-comprehensive health coverage to LPR pregnant women through Medicaid/CHIP.",State did not have the policy,State had the policy,,LPR = lawful permanent resident,CHIP = Children's Health Insurance Program
medicaid_undocumented,Medicaid for unauthorized immigrant pregnant women,,public_benefits,"State provides prenatal care, regardless of a woman's status, through either a state-funded program or through a 2002 CHIP option.",State did not have the policy,State had the policy,,,
medicated_lpr_ban,Medicaid for LPRs after five-year bar,,public_benefits,State provides Medicaid and CHIP to LPRs after their first five years with this status. States have the option to provide Medicaid/CHIP to LPRs after five years with this status.,State did not have the policy,State had the policy,,,